"outcome","account","r2_holdout","beta","seed"
"jobTraining","ols",0.0438282212807951,NA,28
"layoff","logit",0.00529818638412394,NA,28
"layoff","ols",-0.00234781579427978,NA,28
"materialHardship","logit",NA,NA,28
"materialHardship","ols",0.183719275569436,"0.382990255647676",28
"eviction","logit",0.0142795361918832,NA,29
"eviction","ols",0.0172481451995418,NA,29
"gpa","logit",NA,NA,29
"gpa","ols",0.0760831223203923,"0.222819826429787",29
"grit","logit",NA,NA,29
"grit","ols",0.0105209018934433,"0.0502555608552089",29
"jobTraining","logit",0.0488319851628775,NA,29
"jobTraining","ols",0.0483967839026744,NA,29
"layoff","logit",0.00931636913341205,NA,29
"layoff","ols",0.00938032469548244,NA,29
"materialHardship","logit",NA,NA,29
"materialHardship","ols",0.183100699284005,"0.419916030056362",29
"eviction","logit",0.0143858296931013,NA,30
"eviction","ols",0.0236365430047265,NA,30
"gpa","logit",NA,NA,30
"gpa","ols",0.0950372798360123,"0.20634082538924",30
"grit","logit",NA,NA,30
"grit","ols",0.0151711943125545,"0.0292583128338277",30
"jobTraining","logit",0.0491363120203515,NA,30
"jobTraining","ols",0.049312648722432,NA,30
"layoff","logit",0.00859836162863614,NA,30
"layoff","ols",0.00729184127920546,NA,30
"materialHardship","logit",NA,NA,30
"materialHardship","ols",0.179199828609124,"0.339331846431209",30
"eviction","logit",0.0142071895076905,NA,31
"eviction","ols",0.00858633518211493,NA,31
"gpa","logit",NA,NA,31
"gpa","ols",0.0883340178385669,"0.202885754444796",31
"grit","logit",NA,NA,31
"grit","ols",0.0137136511660744,"0.0467364420138127",31
"jobTraining","logit",0.0506614009351688,NA,31
"jobTraining","ols",0.0521772969317863,NA,31
"layoff","logit",0.0067367667390148,NA,31
"layoff","ols",0.000222449088367549,NA,31
"materialHardship","logit",NA,NA,31
"materialHardship","ols",0.17455395792609,"0.371374832619906",31
"eviction","logit",0.0142914917124903,NA,32
"eviction","ols",0.0203028393439189,NA,32
"gpa","logit",NA,NA,32
"gpa","ols",0.0926576600164156,"0.232357826819356",32
"grit","logit",NA,NA,32
"grit","ols",0.0133110011625818,"0.0357563926839446",32
"jobTraining","logit",0.0490060633280381,NA,32
"jobTraining","ols",0.0410432247463495,NA,32
"layoff","logit",0.00751148421233683,NA,32
"layoff","ols",0.00226383672646802,NA,32
"materialHardship","logit",NA,NA,32
"materialHardship","ols",0.178228389611966,"0.363107765007671",32
"eviction","logit",0.0142925037338404,NA,33
"eviction","ols",0.00026194997126161,NA,33
"gpa","logit",NA,NA,33
"gpa","ols",0.122937691539381,"0.201734845618783",33
"grit","logit",NA,NA,33
"grit","ols",0.0121615209374559,"0.0435800826530284",33
