outcome,account,r2_holdout,beta,seed
jobTraining,ols,0.04694243142781185,NA,23
layoff,logit,NA,NA,23
layoff,ols,-0.0028721610864699265,NA,23
materialHardship,logit,NA,NA,23
materialHardship,ols,0.18131946898666063,0.357726254381704,23
eviction,logit,NA,NA,24
eviction,ols,0.022790347669985445,NA,24
gpa,logit,NA,NA,24
gpa,ols,0.07769272860499066,0.22455903784372,24
grit,logit,NA,NA,24
grit,ols,0.01351115340719633,0.00744699445142659,24
jobTraining,logit,NA,NA,24
jobTraining,ols,0.046219493925584665,NA,24
layoff,logit,NA,NA,24
layoff,ols,-0.009018713674558754,NA,24
materialHardship,logit,NA,NA,24
materialHardship,ols,0.18210142166390886,0.367031721848912,24
eviction,logit,NA,NA,25
eviction,ols,0.025028700398311177,NA,25
gpa,logit,NA,NA,25
gpa,ols,0.11892183477785856,0.183553130601578,25
grit,logit,NA,NA,25
grit,ols,0.009252505258618426,0.0216431370913919,25
jobTraining,logit,NA,NA,25
jobTraining,ols,0.048452979600446255,NA,25
layoff,logit,NA,NA,25
layoff,ols,0.009133838639749592,NA,25
materialHardship,logit,NA,NA,25
materialHardship,ols,0.16205269274617995,0.350849811230999,25
eviction,logit,NA,NA,26
eviction,ols,0.022174228852802735,NA,26
gpa,logit,NA,NA,26
gpa,ols,0.0952663001965306,0.21986327488591,26
grit,logit,NA,NA,26
grit,ols,0.014055873755901782,0.0393859556858279,26
jobTraining,logit,NA,NA,26
jobTraining,ols,0.052588554839074875,NA,26
layoff,logit,NA,NA,26
layoff,ols,-0.002015224597640808,NA,26
materialHardship,logit,NA,NA,26
materialHardship,ols,0.18330840999158893,0.377741053085193,26
eviction,logit,NA,NA,27
eviction,ols,0.017353545283489424,NA,27
gpa,logit,NA,NA,27
gpa,ols,0.10895640753901925,0.18761184065254,27
grit,logit,NA,NA,27
grit,ols,0.016618587681691888,0.0151520975712018,27
jobTraining,logit,NA,NA,27
jobTraining,ols,0.054436165177727425,NA,27
layoff,logit,NA,NA,27
layoff,ols,0.007451925756502664,NA,27
materialHardship,logit,NA,NA,27
materialHardship,ols,0.18269023750224855,0.354021022818321,27
eviction,logit,NA,NA,28
eviction,ols,0.020092354941943946,NA,28
gpa,logit,NA,NA,28
gpa,ols,0.11608049139674637,0.165800521775911,28
grit,logit,NA,NA,28
grit,ols,0.013653811366098334,0.0670254618707112,28
jobTraining,logit,NA,NA,28
jobTraining,ols,0.04382822128079511,NA,28
layoff,logit,NA,NA,28
layoff,ols,-0.002347815794279784,NA,28
materialHardship,logit,NA,NA,28
materialHardship,ols,0.18371927556943635,0.382990255647676,28
eviction,logit,NA,NA,29
eviction,ols,0.017248145199541765,NA,29
gpa,logit,NA,NA,29
gpa,ols,0.07608312232039227,0.222819826429787,29
grit,logit,NA,NA,29
grit,ols,0.010520901893443346,0.0502555608552089,29
jobTraining,logit,NA,NA,29
